IME NOGOMETASA,DRZAVA,POZICIJA,LETNICE DELOVANJA,NASTOPI,ZADETKI
Gavin Crawford, Scotland,RW/MF,1891–1898,138,18
Fred Davis, England,MF,1893–1899,150,10
John Anderson, England,MF,1896–1903,153,11
John Dick, Scotland,MF,1898–1912,284,13
Duncan McNichol, Scotland,RB/LB,1899–1903,112,1
Jimmy Jackson, Scotland,LB/MF,1899–1905,204,1
Archie Cross, England,RB/LB,1900–1910,149,0
Jimmy Ashcroft, England,GK,1900–1908,303,0
Tommy Briercliffe, England,RW,1901–1905,133,34
Bill Gooing, England,FW,1901–1905,106,48
Tim Coleman, England,FW,1902–1908,196,84
Roddy McEachrane, Scotland,MF,1902–1915,346,0
Percy Sands, England,CB,1902–1919,350,12
Archie Gray, Scotland,RB,1904–1912,200,0
David Neave, Scotland,LW,1904–1912,168,32
Charlie Satterthwaite, England,FW,1904–1910,141,48
Andy Ducat, England,MF,1905–1912,188,21
Jimmy Sharp, Scotland,LB,1905–1908,116,5
Hugh McDonald, Scotland,GK,"1906, 1908–1910, 1912–1913",103,0
Charles Lewis, England,FW,1907–1920,220,34
Joe Shaw, England,LB,1907–1923,326,0
David Greenaway, Scotland,RW,1908–1921,170,13
Angus McKinnon, Scotland,MF,1908–1922,217,4
Pat Flanagan, England,FW,1910–1917,121,28
Alex Graham, Scotland,CB/LB,1911–1924,179,20
Jock Rutherford, England,RW,"1913–1923, 1923–1926",232,27
Billy Blyth, Scotland,MF,1914–1929,343,51
Frank Bradshaw, England,LB/MF,1914–1923,142,14
Jack Butler, England,CB,1914–1930,296,8
Arthur Hutchins, England,LB,1919–1923,108,1
Henry White, England,FW,1919–1923,109,45
Joe Toner, Northern Ireland,LW,1919–1926,100,6
Ernest Williamson, England,GK,1919–1923,113,0
Alf Baker, England,MF,1919–1931,351,26
Alec Mackie, Northern Ireland,RB,1921–1926,118,1
Billy Milne, Scotland,MF,1921–1927,124,3
Jock Robson, Scotland,GK,1921–1925,101,0
Bob John, Wales,MF,1922–1937,470,13
Andy Kennedy, Northern Ireland,LB,1922–1928,129,0
Jimmy Brain, England,FW,1924–1931,232,139
Sidney Hoar, England,LW,1924–1929,117,18
Dan Lewis, Wales,GK,1924–1931,167,0
Charlie Buchan, England,FW,1925–1928,120,56
Joe Hulme, England,RW,1926–1937,374,125
Jack Lambert, England,FW,1926–1933,161,109
Tom Parker, England,RB,1926–1932,294,17
Herbie Roberts, England,CB,1926–1937,335,5
Eddie Hapgood, England,LB,1927–1939,440,2
David Jack, England,MF,1928–1934,208,124
Charlie Jones, Wales,LW/MF,1928–1934,195,8
Cliff Bastin, England,LW,1929–1947,396,178
Alex James, Scotland,MF,1929–1937,261,27
Leslie Compton, England,CB,1930–1950,273,6
George Male, England,RB,1930–1948,318,0
Frank Moss, England,GK,1931–1936,161,1
Ray Bowden, England,FW,1933–1937,138,48
Wilf Copping, England,MF,1934–1939,189,0
Jack Crayston, England,MF,1934–1939,187,17
Ted Drake, England,FW,1934–1939,184,139
Alf Kirchen, England,RW,1935–1939,101,45
Reg Lewis, England,FW,1935–1953,176,118
George Swindin, England,GK,1936–1953,297,0
Walley Barnes, Wales,RB/LB,1946–1955,294,12
Jimmy Logie, Scotland,MF,1946–1955,328,76
Ian McPherson, Scotland,RW/LW,1946–1951,163,21
Joe Mercer, England,MF,1946–1954,275,2
Laurie Scott, England,RB,1946–1951,126,0
Archie Macaulay, Scotland,MF,1947–1950,108,1
Don Roper, England,FW,1947–1956,321,95
Alex Forbes, Scotland,MF,1948–1956,240,20
Doug Lishman, England,FW,1948–1955,244,137
Lionel Smith, England,LB,1948–1954,181,0
Peter Goring, England,FW/MF,1949–1959,240,53
